Index;Scene;Character_name;Character_gender;Dialogue
1;1;Atreus;Male;hungry what's next
2;1;Kratos;Male;Home, the storm is getting worse
3;1;Atreus;Male;I'll get them ready need help
4;1;Kratos;Male;ready?
5;2;Atreus;Male;I hope Fenrir got some sleep. Maybe he'll be ready to eat when we get home
6;2;Kratos;Male;He is… quite sick Atreus.
7;2;Atreus;Male;I know but he was a little better yesterday until he wasn't. If he keeps eating... I'm not giving up on him. hear that.
8;2;Kratos;Male;Yes.
9;2;Atreus;Male;Is it her?
10;2;Kratos;Male;It is her. the stave is not far. HAA!
11;2;Atreus;Male;Not again…
12;2;Kratos;Male;Get ready.
13;2;Freya;Female;Fálki!
14;2;Atreus;Male;she wouldn't give up that easy, would she?
15;2;Kratos;Male;She never does. Stay alert.
16;2;Atreus;Male;There she is! Father! Let go of him! Got you!
17;2;Kratos;Male;HAA!
18;2;Atreus;Male;We've gotta get away from her!
19;2;Kratos;Male;I am trying!
20;2;Atreus;Male;Up there! What's she…? LOOK OUT! The trees! They're coming down! That was too close.. She's coming around again!
21;2;Kratos;Male;ATREUS! I do not wich to fight you.
22;2;Atreus;Male;I'm losing my grip here! Father!
23;2;Kratos;Male;I have you! Hold tight! The protection stave is near!
24;2;Atreus;Male;Oh no… Freya, we're not you enem…
25;2;Kratos;Male;Freya, WAIT!
26;2;Freya;Female;RRRAAAAAA!!
27;2;Atreus;Male;Please don't make me do this!
28;2;Freya;Female;RRAAGH!! KRATOS!!!
29;2;Kratos;Male;HAA! FASTER!
30;2;Atreus;Male;Hurry hurry hurry hurry… We're through the stave. We made it.
31;2;Kratos;Male;Let us go home.
32;2;Atreus;Male;Speki! Svanna! Hup!
33;3;Atreus;Male;I'm sorry I couldn't take the shot.
34;3;Kratos;Male;I did not wish you to.
35;3;Atreus;Male;I keep hoping she'll let it go. You saved her life!
36;3;Kratos;Male;I killed her son there is no letting that go
37;3;Atreus;Male;Yeah… I guess killing Baldur really did bring on Fimbulwinter. It never stopped snowing after that day… think it's ever gonna get better?
38;3;Kratos;Male;Someday. But the worst is still ahead of us. We must be strong.
